commit  val_acc status  description                                                                                                                                                           
6abde70 0.551227        keep    batch_size 128->256 + n_epochs 2000->4000 (matched update budget; early-stopped; +0.016; +0.143 over baseline)
8966040 0.542181        discard batch_size 256->512 + n_epochs 8000 (too large; sharp minima degrade gen; batch peak is 256)
b0fede2 0.523156        discard lr 0.001->0.002 at batch 256 (linear-scaling rule does not help; lr 1e-3 optimal even at batch 256)
73550a7 0.564062        keep    hidden 512->768 + proj 256->384 WITH all-ROI+batch256 (capacity NOT plateaued at scale; +0.013; +0.156 over baseline)
497c08f 0.548099        discard hidden 768->1024 + proj 384->512 (overfits more than h768; capacity peak at h768/proj384)
e34222a 0.508225        discard dropout 0.3->0.4 at h768 (more dropout underfits; 0.3 optimal across scales)
cfd2c14 0.540591        discard temporal mean-pool context to classifier (GRU last hidden already encodes sequence; pool dilutes, worse)
f60e9b8 0.544530        discard mixup 1.0->0.8 at scale (less mixup worse; 1.0 optimal at h768/batch256 too)
64c9462 0.552700        discard decode-time-step 10->5 (40 vs 20 steps; 2x slower, killed at ~30min cap at 0.5527 below best; finer resolution not worth it)
f03471e 0.547541        discard label_smoothing 0.2->0.1 at scale (ls 0.1 worse at scale, overfits more train 1.42; ls 0.2 optimal at scale too)                                     [12/1236]
e6a7ab5 0.559766        discard good_channel_threshold 1.5->1.0 (820 vs 678 chans; weaker dprime 1.0-1.5 channels add noise; threshold 1.5 optimal)
fdde77b 0.564100        discard patience 500->1000 (same trajectory as exp30, reached identical 0.5641 then ran 1000 epochs w/o improvement; killed over cap; 500 sufficient)
5a62236 0.538308        discard 1D temporal conv (kernel 3) before GRU (GRU already handles temporal patterns; conv adds overfitting)
28e21f6 0.573159        keep    rois [1,2,3]->[2,3] V4+IT (exclude V1 noise; 390 vs 678 chans, cleaner signal, val loss 2.92; +0.009; +0.165 over baseline)
b879f0d 0.579719        keep    hidden 768->512 + proj 384->256 at roi[2,3] (smaller model better on fewer chans; cap optimum shifts down; +0.007; +0.172 over baseline)
f6f1cd3 0.567274        discard hidden 512->256 + proj 256->128 at roi[2,3] (too small, underfits; cap peak at h512/proj256)
3038e99 0.580395        keep    mixup 1.0->0.8 at roi[2,3]/h512 (cleaner data less overfit -> mixup optimum shifts down; marginal +0.0007; +0.173 over baseline)
15eaddb 0.561010        discard batch 256->128 at roi[2,3]/h512 (smaller batch worse; 256 optimal at this operating point too)
6b179c0 0.561745        discard 2-layer GRU + inter-layer dropout 0.2 at roi[2,3]/h512 (depth still hurts; 1-layer robustly best)
c60a60f 0.576709        discard input residual (proj->GRU output skip; within noise, no benefit)
b36f22c 0.493294        discard temporal-diff input (delta x + per-session zscore; much worse, loses info vs standardized absolute signal)
54a7cf2 0.470921        discard per-timestep weighted loss ramp (linear ramp emphasizing later timesteps; much worse, last-timestep-only loss is optimal)
2ee9d44 0.422086        discard optimizer AdamW->Adam (L2-coupled wd penalizes too much; AdamW decoupled wd clearly better)
26f1cb3 0.462433        discard cutmix on time axis (hard time-segment splice destroys temporal dynamics; input mixup far better)
ed2998b 0.565464        discard mixup 0.8->0.6 (under-augments; mixup peak at roi[2,3]/h512 is ~0.8-1.0 plateau)
9886516 0.577098        discard gradient clipping max_norm 1.0 (no-op-to-slightly-negative with AdamW; grads already well-scaled)
3eb29aa 0.569220        discard transformer encoder (1 layer, nhead 8) replacing GRU (underperforms GRU on short 20-step sequence; GRU recurrence better suited)
47c363d 0.568305        discard 2-layer MLP classifier head (deeper head overfits more; single Linear head optimal)
b952ee8 0.568727        discard session one-hot context (z-scoring already handles session offsets; one-hot adds noise)
85cdf2d 0.510270        discard 2-layer transformer (overfits hard; 1-layer 0.569, 2-layer 0.510; transformer not viable on 20-step seq)
ac769c1 0.587532        keep    hidden 512->640 + proj 256->320 at roi[2,3] (finer probe found new peak; curve h512=0.580,h640=0.588,h768=0.573; +0.007; +0.180 over baseline)
21ebc72 0.572549        discard hidden 640->576 + proj 320->288 (below h640; capacity curve noisy/non-monotonic, h640 peak)
e4ce863 0.580868        discard hidden 640->704 + proj 320->352 (below h640; capacity peak confirmed at h640/proj320)
1851175 0.576085        discard mixup 0.8->1.0 at h640 (1.0 worse; 0.8 optimal at h640 too)
c6440dd 0.579079        discard batch 256->384 + n_epochs 6000 (below batch 256; batch peak confirmed at 256)
78acbb7 0.565178        discard proj 320->384 at h640 (less channel bottleneck adds overfitting; proj/hidden ratio 0.5 optimal)
